config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
15,genetic,3,"{'pop_size': 4, 'numIterations': 80, 'percentForCrossover': 1.0}",1.99,1.99,0.01725,21,101111000001010111111
15,genetic,4,"{'pop_size': 4, 'numIterations': 80, 'percentForCrossover': 1.0}",2.66,2.61,0.01756,21,11001011011011111000
16,genetic,0,"{'pop_size': 8, 'numIterations': 5, 'percentForCrossover': 1.0}",2.64,2.59,0.00219,21,11000001000001011000
16,genetic,1,"{'pop_size': 8, 'numIterations': 5, 'percentForCrossover': 1.0}",2.66,2.61,0.00224,21,1000000000010101000
16,genetic,2,"{'pop_size': 8, 'numIterations': 5, 'percentForCrossover': 1.0}",2.49,2.45,0.00218,21,1110001000010010100
16,genetic,3,"{'pop_size': 8, 'numIterations': 5, 'percentForCrossover': 1.0}",2.7,2.66,0.00221,21,1101010100000101110
16,genetic,4,"{'pop_size': 8, 'numIterations': 5, 'percentForCrossover': 1.0}",2.29,2.44,0.0022,21,11000110010111000
17,genetic,0,"{'pop_size': 8, 'numIterations': 10, 'percentForCrossover': 1.0}",2.64,2.59,0.00445,21,10100010000000101100
17,genetic,1,"{'pop_size': 8, 'numIterations': 10, 'percentForCrossover': 1.0}",2.55,2.51,0.00439,21,111111100000010000
17,genetic,2,"{'pop_size': 8, 'numIterations': 10, 'percentForCrossover': 1.0}",2.68,2.64,0.00443,21,11101001110011110110
17,genetic,3,"{'pop_size': 8, 'numIterations': 10, 'percentForCrossover': 1.0}",2.63,2.58,0.00446,21,10111000111010
17,genetic,4,"{'pop_size': 8, 'numIterations': 10, 'percentForCrossover': 1.0}",2.62,2.57,0.0044,21,100101010011110100
18,genetic,0,"{'pop_size': 8, 'numIterations': 20, 'percentForCrossover': 1.0}",2.72,2.68,0.00878,21,1101001110110101000
18,genetic,1,"{'pop_size': 8, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.00871,21,10101100110011011110
18,genetic,2,"{'pop_size': 8, 'numIterations': 20, 'percentForCrossover': 1.0}",2.64,2.59,0.00909,21,1100000110111101110
18,genetic,3,"{'pop_size': 8, 'numIterations': 20, 'percentForCrossover': 1.0}",2.64,2.59,0.00905,21,10001110011100001000
18,genetic,4,"{'pop_size': 8, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.00901,21,1001001101000111010
19,genetic,0,"{'pop_size': 8, 'numIterations': 40, 'percentForCrossover': 1.0}",2.31,2.29,0.01801,21,10011011100000001111
19,genetic,1,"{'pop_size': 8, 'numIterations': 40, 'percentForCrossover': 1.0}",2.68,2.64,0.01816,21,11100011111000
19,genetic,2,"{'pop_size': 8, 'numIterations': 40, 'percentForCrossover': 1.0}",2.48,2.41,0.0178,21,10000100111111110110
19,genetic,3,"{'pop_size': 8, 'numIterations': 40, 'percentForCrossover': 1.0}",2.61,2.55,0.01769,21,10101011010110100110
19,genetic,4,"{'pop_size': 8, 'numIterations': 40, 'percentForCrossover': 1.0}",2.16,2.13,0.01815,21,1010100100111001111
20,genetic,0,"{'pop_size': 8, 'numIterations': 80, 'percentForCrossover': 1.0}",2.72,2.68,0.03531,21,1101101110010110100
20,genetic,1,"{'pop_size': 8, 'numIterations': 80, 'percentForCrossover': 1.0}",2.18,2.24,0.03568,21,101011010111101
20,genetic,2,"{'pop_size': 8, 'numIterations': 80, 'percentForCrossover': 1.0}",2.68,2.64,0.0355,21,10101101100011001100
20,genetic,3,"{'pop_size': 8, 'numIterations': 80, 'percentForCrossover': 1.0}",2.68,2.64,0.0352,21,101100110111110100
20,genetic,4,"{'pop_size': 8, 'numIterations': 80, 'percentForCrossover': 1.0}",2.24,2.36,0.03514,21,1100110010011011
21,genetic,0,"{'pop_size': 16, 'numIterations': 5, 'percentForCrossover': 1.0}",2.72,2.68,0.00455,21,11101011100010101100
21,genetic,1,"{'pop_size': 16, 'numIterations': 5, 'percentForCrossover': 1.0}",2.67,2.62,0.00436,21,10001000110111101110
21,genetic,2,"{'pop_size': 16, 'numIterations': 5, 'percentForCrossover': 1.0}",2.64,2.59,0.00456,21,1000111011100011100
21,genetic,3,"{'pop_size': 16, 'numIterations': 5, 'percentForCrossover': 1.0}",2.64,2.59,0.00433,21,1001110100101010
21,genetic,4,"{'pop_size': 16, 'numIterations': 5, 'percentForCrossover': 1.0}",2.57,2.51,0.0045,21,1101010010001000000
22,genetic,0,"{'pop_size': 16, 'numIterations': 10, 'percentForCrossover': 1.0}",2.68,2.64,0.00879,21,100100011001000
22,genetic,1,"{'pop_size': 16, 'numIterations': 10, 'percentForCrossover': 1.0}",2.68,2.64,0.00902,21,11100000100010100000
22,genetic,2,"{'pop_size': 16, 'numIterations': 10, 'percentForCrossover': 1.0}",2.57,2.51,0.00898,21,11101001000101110100
22,genetic,3,"{'pop_size': 16, 'numIterations': 10, 'percentForCrossover': 1.0}",2.72,2.68,0.00905,21,10001100101010101100
22,genetic,4,"{'pop_size': 16, 'numIterations': 10, 'percentForCrossover': 1.0}",2.64,2.59,0.00905,21,11100110110111010010
23,genetic,0,"{'pop_size': 16, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.0175,21,11000111101011101100
23,genetic,1,"{'pop_size': 16, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.01782,21,10000001100111111000
23,genetic,2,"{'pop_size': 16, 'numIterations': 20, 'percentForCrossover': 1.0}",2.72,2.68,0.01754,21,10001011101011111100
23,genetic,3,"{'pop_size': 16, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.01762,21,1001100000111010
23,genetic,4,"{'pop_size': 16, 'numIterations': 20, 'percentForCrossover': 1.0}",2.68,2.64,0.01755,21,101111100101010010
24,genetic,0,"{'pop_size': 16, 'numIterations': 40, 'percentForCrossover': 1.0}",2.68,2.64,0.03458,21,1100111011000
24,genetic,1,"{'pop_size': 16, 'numIterations': 40, 'percentForCrossover': 1.0}",2.66,2.61,0.03495,21,11000010010111111100
24,genetic,2,"{'pop_size': 16, 'numIterations': 40, 'percentForCrossover': 1.0}",2.64,2.59,0.03506,21,1100000000010001010
24,genetic,3,"{'pop_size': 16, 'numIterations': 40, 'percentForCrossover': 1.0}",2.72,2.68,0.03441,21,1001001100111101100
24,genetic,4,"{'pop_size': 16, 'numIterations': 40, 'percentForCrossover': 1.0}",2.64,2.59,0.03622,21,1001001001000001000
25,genetic,0,"{'pop_size': 16, 'numIterations': 80, 'percentForCrossover': 1.0}",2.66,2.61,0.06903,21,11001011011110111100
25,genetic,1,"{'pop_size': 16, 'numIterations': 80, 'percentForCrossover': 1.0}",2.61,2.55,0.07041,21,11000101001001110000
25,genetic,2,"{'pop_size': 16, 'numIterations': 80, 'percentForCrossover': 1.0}",2.72,2.68,0.06864,21,1010101011001000
25,genetic,3,"{'pop_size': 16, 'numIterations': 80, 'percentForCrossover': 1.0}",2.68,2.64,0.06959,21,101010100001101110
25,genetic,4,"{'pop_size': 16, 'numIterations': 80, 'percentForCrossover': 1.0}",2.67,2.62,0.0706,21,100110100011000
26,genetic,0,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",2.02,1.91,0.00037,85,101100101011001111110011000010100111101110100001111100110001100110010011100110001010
26,genetic,1,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",2.15,2.14,0.00034,85,111011101100000000010000110110000101100101000011100001100010001011111001011010001101
26,genetic,2,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",1.7,1.77,0.00033,85,100111101101011101011100100011111101100100001101010100100110000011000101010100010110
26,genetic,3,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",2.06,2.06,0.00034,85,111001000101000111011001000101010100110100101111111000010110100010110011110011101
26,genetic,4,"{'pop_size': 1, 'numIterations': 5, 'percentForCrossover': 1.0}",1.83,1.92,0.00033,85,101111000101111111101111101111110000001011111011100100100001101100001100011110100000
27,genetic,0,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.83,1.81,0.00067,85,1010011101010101011101110111111010111010011101011111010101100001011101101111101111001
27,genetic,1,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.99,2.04,0.00067,85,111110010010001111101011001111111000110101100111100000110001100111100111111111
27,genetic,2,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",2.16,2.26,0.00066,85,1100001000000100100100011011111011001101010100001010001001010110011011011110000010011
27,genetic,3,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",2.12,2.11,0.00069,85,111000111000111111110111001100100000010100110001100101100010111101111100101111101011
27,genetic,4,"{'pop_size': 1, 'numIterations': 10, 'percentForCrossover': 1.0}",1.79,1.76,0.00067,85,1000110101101011110110011110010111011000101010101101010100110101101100001111010111110
28,genetic,0,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",2.14,2.22,0.00144,85,1001111010101011110000110101010111111111010101111111100101001011011111101011101101000
28,genetic,1,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",1.88,1.86,0.00129,85,101010101011100011010110100001011000010001110001111011011010101011001111110010001100
28,genetic,2,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",1.96,1.96,0.00128,85,1010011110110111110100100000011101100001100000110000111000111010010110101111101111001
28,genetic,3,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",1.99,1.96,0.00132,85,1001011110001110100101010100000000101000011000100101110101110110010110101101011
28,genetic,4,"{'pop_size': 1, 'numIterations': 20, 'percentForCrossover': 1.0}",1.67,1.76,0.00132,85,1100111011010000000011011011101010111101001110100100000111001100011111101101000101010
