config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
19,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.99}",2.72,2.68,0.19036,21,011001110110011101000
19,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.99}",2.72,2.68,0.19037,21,000101100100010001100
19,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.99}",2.72,2.68,0.18992,21,010101000110000111000
19,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.99}",2.72,2.68,0.18874,21,010101000100000111100
19,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.99}",2.72,2.68,0.19028,21,001101100110100011100
20,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.995}",2.72,2.68,0.37989,21,000001000110010111100
20,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.995}",2.72,2.68,0.37949,21,000001011111111111100
20,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.995}",2.72,2.68,0.37779,21,001001111101101011000
20,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.995}",2.72,2.68,0.37856,21,000101111100010000000
20,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 4, 'cooling': 0.995}",2.72,2.68,0.41536,21,000001010111101001000
21,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.5}",2.64,2.59,0.0038,21,001001111010101001000
21,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.5}",2.64,2.59,0.00387,21,000001110001000011000
21,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.5}",2.29,2.28,0.00398,21,011100100000000010101
21,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.5}",2.59,2.53,0.00394,21,010000110000001001010
21,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.5}",2.57,2.51,0.00376,21,010000000111110001110
22,simulated_annealing,0,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.9}",2.72,2.68,0.02232,21,001101110100000110000
22,simulated_annealing,1,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.9}",2.71,2.66,0.0223,21,001101010101000111100
22,simulated_annealing,2,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.9}",2.72,2.68,0.02231,21,011001110111101001000
22,simulated_annealing,3,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.9}",2.68,2.64,0.02234,21,011101110110011100010
22,simulated_annealing,4,"{'numRestarts': 5, 'temperature': 8, 'cooling': 0.9}",2.72,2.68,0.02206,21,011101001100010010100
